Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the Terms and Conditions of the Cboe Website.,,,,
Date,VIX Put/Call Ratio,VIX Put Volume,VIX Call Volume,Total VIX Options Volume
11/13/2008,0.44,44679,102154,146833
11/14/2008,0.69,29791,43053,72844
11/17/2008,0.48,30067,62868,92935
11/18/2008,0.49,39212,79749,118961
11/19/2008,0.74,16997,23071,40068
11/20/2008,0.45,17782,39365,57147
11/21/2008,0.32,11200,34987,46187
11/24/2008,1.25,30641,24545,55186
11/25/2008,1.55,32786,21117,53903
11/26/2008,2.22,28795,12955,41750
11/28/2008,0.41,5485,13480,18965
12/1/2008,1.18,37336,31731,69067
12/2/2008,0.6,30406,50371,80777
12/3/2008,2.19,23664,10821,34485
12/4/2008,1.43,33977,23752,57729
12/5/2008,0.52,19305,37481,56786
12/8/2008,1.64,48826,29701,78527
12/9/2008,0.87,31799,36359,68158
12/10/2008,1.59,37351,23431,60782
12/11/2008,1.3,50108,38656,88764
12/12/2008,0.71,35564,50421,85985
12/15/2008,0.69,23822,34342,58164
12/16/2008,1.25,80082,63816,143898
12/17/2008,0.94,10517,11206,21723
12/18/2008,1.25,20094,16097,36191
12/19/2008,1.69,30386,18020,48406
12/22/2008,0.54,7134,13092,20226
12/23/2008,1.01,10806,10663,21469
12/24/2008,0.53,2311,4390,6701
12/26/2008,0.12,785,6538,7323
12/29/2008,1.73,12371,7131,19502
12/30/2008,2.09,24182,11570,35752
12/31/2008,0.98,17350,17781,35131
1/2/2009,1.59,27517,17347,44864
1/5/2009,0.41,22075,54035,76110
1/6/2009,0.49,27648,56267,83915
1/7/2009,0.63,33906,53850,87756
1/8/2009,1.09,25498,23296,48794
1/9/2009,0.59,18096,30420,48516
1/12/2009,0.31,20016,65138,85154
1/13/2009,0.11,26321,235512,261833
1/14/2009,0.93,51412,55142,106554
1/15/2009,0.86,52874,61794,114668
1/16/2009,0.73,37054,50748,87802
1/20/2009,0.21,22157,104941,127098
1/21/2009,1.16,30545,26220,56765
1/22/2009,1.23,30957,25167,56124
1/23/2009,1.06,8860,8392,17252
1/26/2009,1.41,27091,19255,46346
1/27/2009,0.79,23849,30108,53957
1/28/2009,0.18,19654,106406,126060
1/29/2009,0.42,26009,61818,87827
1/30/2009,0.85,19707,23062,42769
2/2/2009,0.43,10003,23065,33068
2/3/2009,1.02,22785,22337,45122
2/4/2009,0.22,6561,30368,36929
2/5/2009,0.54,10219,19017,29236
2/6/2009,0.31,21224,67399,88623
2/9/2009,0.51,8613,16811,25424
2/10/2009,0.34,13312,38919,52231
2/11/2009,3.79,53587,14123,67710
2/12/2009,0.24,19361,80441,99802
2/13/2009,0.79,18247,23002,41249
2/17/2009,0.43,39994,93825,133819
2/18/2009,0.93,13671,14706,28377
2/19/2009,0.24,7229,30634,37863
2/20/2009,0.15,15121,100967,116088
2/23/2009,0.33,17512,53123,70635
2/24/2009,1.25,70104,56245,126349
2/25/2009,1.07,30974,28920,59894
2/26/2009,0.59,22195,37565,59760
2/27/2009,0.2,14363,72213,86576
3/2/2009,0.24,16981,71847,88828
3/3/2009,0.32,23854,74999,98853
3/4/2009,1.1,41892,37943,79835
3/5/2009,0.26,15719,60430,76149
3/6/2009,0.32,13308,42184,55492
3/9/2009,0.12,4279,36965,41244
3/10/2009,0.8,29353,36613,65966
3/11/2009,1.53,42291,27564,69855
3/12/2009,0.42,32557,77255,109812
3/13/2009,0.83,41495,49829,91324
3/16/2009,0.61,20681,33866,54547
3/17/2009,0.12,38846,337441,376287
3/18/2009,0.66,36146,54583,90729
3/19/2009,0.38,12341,32803,45144
3/20/2009,0.41,19346,46909,66255
3/23/2009,2.21,70193,31822,102015
3/24/2009,1.08,35979,33189,69168
3/25/2009,1.49,41867,28075,69942
3/26/2009,0.41,21733,52907,74640
3/27/2009,1.11,41781,37788,79569
3/30/2009,1.78,97707,54961,152668
3/31/2009,0.46,45552,98313,143865
4/1/2009,0.6,64390,106757,171147
4/2/2009,0.92,81631,88321,169952
4/3/2009,0.56,29089,51896,80985
4/6/2009,0.25,8644,35123,43767
4/7/2009,0.49,20230,41450,61680
4/8/2009,1.04,39749,38241,77990
4/9/2009,2.02,84416,41786,126202
4/13/2009,1.2,28148,23362,51510
4/14/2009,0.67,66702,99346,166048
4/15/2009,1.18,44743,37923,82666
4/16/2009,3.87,104550,27044,131594
4/17/2009,0.9,43111,47921,91032
4/20/2009,0.91,44014,48128,92142
4/21/2009,0.81,42365,52480,94845
4/22/2009,0.8,17243,21584,38827
4/23/2009,0.71,54540,76803,131343
4/24/2009,0.68,78771,116059,194830
4/27/2009,0.22,16526,75221,91747
4/28/2009,0.45,18903,41760,60663
4/29/2009,1.08,41968,39038,81006
4/30/2009,1.08,45702,42158,87860
5/1/2009,0.28,13106,46371,59477
5/4/2009,0.63,40843,64392,105235
5/5/2009,0.1,11991,118875,130866
5/6/2009,2.14,59400,27752,87152
5/7/2009,0.38,25611,67064,92675
5/8/2009,1.05,64469,61557,126026
5/11/2009,3.33,195788,58807,254595
5/12/2009,0.63,37507,59683,97190
5/13/2009,0.58,33586,58231,91817
5/14/2009,0.39,40645,103102,143747
5/15/2009,0.91,59390,65603,124993
5/18/2009,1.1,70034,63610,133644
5/19/2009,1.02,83379,81497,164876
5/20/2009,0.31,33146,107328,140474
5/21/2009,0.25,29901,119613,149514
5/22/2009,0.16,14808,92542,107350
5/26/2009,0.5,28792,57971,86763
5/27/2009,0.21,18730,87827,106557
5/28/2009,0.54,40186,73867,114053
5/29/2009,0.21,17140,83314,100454
6/1/2009,0.69,30009,43427,73436
6/2/2009,0.39,28816,72974,101790
6/3/2009,0.14,12338,85598,97936
6/4/2009,0.51,22582,43910,66492
6/5/2009,0.53,20977,39793,60770
6/8/2009,0.22,26480,122620,149100
6/9/2009,0.43,33656,77818,111474
6/10/2009,0.35,33276,95960,129236
6/11/2009,0.17,21514,128036,149550
6/12/2009,0.39,12583,32116,44699
6/15/2009,0.57,45299,80142,125441
6/16/2009,0.31,49184,156218,205402
6/17/2009,0.43,19268,44976,64244
6/18/2009,0.22,6212,28234,34446
6/19/2009,0.18,16633,94039,110672
6/22/2009,0.19,20829,109587,130416
6/23/2009,0.23,37513,163279,200792
6/24/2009,0.44,15391,34675,50066
6/25/2009,0.35,55600,158708,214308
6/26/2009,0.22,31724,144289,176013
6/29/2009,0.18,13288,75584,88872
6/30/2009,0.6,42562,70754,113316
7/1/2009,0.28,28171,100312,128483
7/2/2009,0.27,27568,103950,131518
7/6/2009,0.38,31646,82944,114590
7/7/2009,0.41,69764,169080,238844
7/8/2009,0.35,38880,111341,150221
7/9/2009,0.24,20269,83252,103521
7/10/2009,0.2,10360,51226,61586
7/13/2009,0.24,26626,110954,137580
7/14/2009,0.55,74354,134211,208565
7/15/2009,0.6,59647,99330,158977
7/16/2009,1.01,70827,70411,141238
7/17/2009,0.72,117972,164975,282947
7/20/2009,0.93,75754,81705,157459
7/21/2009,0.82,63783,77374,141157
7/22/2009,0.8,56935,70987,127922
7/23/2009,0.65,42214,64558,106772
7/24/2009,0.38,24561,64713,89274
7/27/2009,0.54,32819,60413,93232
7/28/2009,0.56,49080,86882,135962
7/29/2009,0.64,85202,133800,219002
7/30/2009,0.21,25730,125396,151126
7/31/2009,0.87,36920,42241,79161
8/3/2009,0.31,11961,38018,49979
8/4/2009,0.53,48311,91871,140182
8/5/2009,0.77,82109,106727,188836
8/6/2009,0.37,50192,135073,185265
8/7/2009,0.38,40303,105729,146032
8/10/2009,0.16,14181,89447,103628
8/11/2009,0.46,71427,154496,225923
8/12/2009,0.82,96214,116692,212906
8/13/2009,0.4,50080,124226,174306
8/14/2009,0.68,65309,96418,161727
8/17/2009,0.66,100013,150991,251004
8/18/2009,0.97,113436,117280,230716
8/19/2009,2.08,53807,25917,79724
8/20/2009,0.29,32536,112829,145365
8/21/2009,0.42,71209,167741,238950
8/24/2009,0.25,23364,92583,115947
8/25/2009,0.2,38715,193019,231734
8/26/2009,1.18,30534,25921,56455
8/27/2009,0.39,39843,101533,141376
8/28/2009,0.32,15492,48273,63765
8/31/2009,0.85,68051,79883,147934
9/1/2009,0.25,44632,181644,226276
9/2/2009,0.15,25744,170934,196678
9/3/2009,0.81,98881,121452,220333
9/4/2009,0.95,53537,56458,109995
9/8/2009,1.05,89351,84823,174174
9/9/2009,1.86,148124,79604,227728
9/10/2009,1.41,141252,100520,241772
9/11/2009,1.85,79074,42804,121878
9/14/2009,1.02,87359,86015,173374
9/15/2009,0.33,42542,129257,171799
9/16/2009,1.42,62613,44207,106820
9/17/2009,0.21,27998,136517,164515
9/18/2009,1.11,63203,57154,120357
9/21/2009,0.22,9663,43475,53138
9/22/2009,0.36,33637,94450,128087
9/23/2009,0.25,18120,72011,90131
9/24/2009,0.93,79225,84940,164165
9/25/2009,1.16,62430,53903,116333
9/28/2009,0.32,6071,19037,25108
9/29/2009,0.24,13458,56949,70407
9/30/2009,0.69,34534,50056,84590
10/1/2009,0.2,23813,122016,145829
10/2/2009,0.82,54736,66677,121413
10/5/2009,0.26,18971,71808,90779
10/6/2009,0.44,24201,55473,79674
10/7/2009,0.73,20813,28549,49362
10/8/2009,0.53,119325,224356,343681
10/9/2009,0.67,31376,46809,78185
10/12/2009,0.92,51995,56823,108818
10/13/2009,0.42,52890,126942,179832
10/14/2009,0.87,61178,70341,131519
10/15/2009,1.43,79422,55518,134940
10/16/2009,0.71,75197,106434,181631
10/19/2009,0.66,44707,67925,112632
10/20/2009,0.52,61112,116780,177892
10/21/2009,1.72,130667,75864,206531
10/22/2009,0.48,72403,149668,222071
10/23/2009,0.28,46166,166412,212578
10/26/2009,0.46,56290,123705,179995
10/27/2009,0.4,40051,99665,139716
10/28/2009,0.79,71113,90091,161204
10/29/2009,0.33,30744,92688,123432
10/30/2009,0.84,84807,100877,185684
11/2/2009,0.54,86979,161917,248896
11/3/2009,0.46,26426,58010,84436
11/4/2009,0.72,87386,121984,209370
11/5/2009,1.04,55392,53302,108694
11/6/2009,3.09,285649,92457,378106
11/9/2009,0.97,150779,154741,305520
11/10/2009,0.79,54287,68939,123226
11/11/2009,2.66,266291,99966,366257
11/12/2009,0.75,137805,184125,321930
11/13/2009,1.78,173663,97760,271423
11/16/2009,2.1,191485,91223,282708
11/17/2009,1.18,101416,85957,187373
11/18/2009,0.4,28285,70848,99133
11/19/2009,1.16,87244,75182,162426
11/20/2009,0.91,90658,99853,190511
11/23/2009,0.49,65097,133366,198463
11/24/2009,0.5,51397,103070,154467
11/25/2009,0.2,25776,128288,154064
11/27/2009,0.84,101598,121353,222951
11/30/2009,0.46,24340,52482,76822
12/1/2009,1.02,82926,81311,164237
12/2/2009,1.12,52311,46532,98843
12/3/2009,0.13,82754,634576,717330
12/4/2009,0.88,125468,142600,268068
12/7/2009,1.11,41387,37326,78713
12/8/2009,0.58,71592,123460,195052
12/9/2009,1.39,184274,132156,316430
12/10/2009,0.51,35923,70302,106225
12/11/2009,0.85,137748,162488,300236
12/14/2009,2.06,87862,42687,130549
12/15/2009,0.26,68981,263697,332678
12/16/2009,0.36,88187,248143,336330
12/17/2009,0.07,26311,390799,417110
12/18/2009,0.83,90951,109457,200408
12/21/2009,0.68,37902,56020,93922
12/22/2009,1.58,127303,80472,207775
12/23/2009,1.51,48011,31792,79803
12/24/2009,0.45,4237,9424,13661
12/28/2009,0.34,5472,15983,21455
12/29/2009,1.32,65838,49808,115646
12/30/2009,0.46,30572,66279,96851
12/31/2009,0.62,28329,45463,73792
1/4/2010,0.56,46834,83828,130662
1/5/2010,0.34,51281,151204,202485
1/6/2010,1.27,81818,64622,146440
1/7/2010,0.4,53061,132137,185198
1/8/2010,0.34,63841,186601,250442
1/11/2010,0.34,79865,235344,315209
1/12/2010,0.6,108627,181082,289709
1/13/2010,0.15,54780,366692,421472
1/14/2010,0.92,50881,55298,106179
1/15/2010,0.37,35718,96181,131899
1/19/2010,0.44,101470,231647,333117
1/20/2010,0.37,55796,151877,207673
1/21/2010,0.18,37704,212931,250635
1/22/2010,0.32,124853,388866,513719
1/25/2010,0.55,80427,145274,225701
1/26/2010,0.28,21048,76216,97264
1/27/2010,0.34,82216,239781,321997
1/28/2010,0.5,79384,159029,238413
1/29/2010,0.44,42751,97084,139835
2/1/2010,0.15,21537,146708,168245
2/2/2010,0.91,165594,181060,346654
2/3/2010,0.31,43314,137884,181198
2/4/2010,0.17,43468,254078,297546
2/5/2010,0.5,119217,239906,359123
2/8/2010,0.72,120920,169073,289993
2/9/2010,0.5,73972,146841,220813
2/10/2010,0.93,89415,96076,185491
2/11/2010,0.17,70274,417809,488083
2/12/2010,0.23,35232,151267,186499
2/16/2010,1.05,161607,154092,315699
2/17/2010,0.2,46019,229354,275373
2/18/2010,0.18,25320,143005,168325
2/19/2010,0.2,28540,145002,173542
2/22/2010,0.25,64542,260645,325187
2/23/2010,0.32,59933,186243,246176
2/24/2010,0.44,59940,137778,197718
2/25/2010,0.29,49885,172283,222168
2/26/2010,0.45,72566,159789,232355
3/1/2010,1,166071,166784,332855
3/2/2010,0.48,102748,212662,315410
3/3/2010,0.63,139882,221788,361670
3/4/2010,0.27,26065,97043,123108
3/5/2010,1.16,188428,161814,350242
3/8/2010,1.37,97063,71039,168102
3/9/2010,0.39,55193,142497,197690
3/10/2010,0.24,38618,161319,199937
3/11/2010,0.97,108963,112298,221261
3/12/2010,0.91,54945,60309,115254
3/15/2010,0.17,32814,189656,222470
3/16/2010,1.05,182057,173974,356031
3/17/2010,0.31,57554,184186,241740
3/18/2010,0.59,82333,138988,221321
3/19/2010,0.14,15708,112809,128517
3/22/2010,0.28,20536,72635,93171
3/23/2010,0.58,35757,61726,97483
3/24/2010,1.21,58313,48363,106676
3/25/2010,0.83,68566,83005,151571
3/26/2010,0.39,47649,121236,168885
3/29/2010,1.16,60690,52123,112813
3/30/2010,0.24,23879,99914,123793
3/31/2010,0.43,34198,80112,114310
4/1/2010,0.25,23693,95833,119526
4/5/2010,1.83,103720,56784,160504
4/6/2010,1.15,138404,120343,258747
4/7/2010,1.56,222996,142930,365926
4/8/2010,0.99,70563,71386,141949
4/9/2010,1.98,129493,65237,194730
4/12/2010,0.67,61100,91234,152334
4/13/2010,0.27,68696,250628,319324
4/14/2010,0.81,107973,133847,241820
4/15/2010,0.62,149351,241267,390618
4/16/2010,0.97,218161,225712,443873
4/19/2010,0.5,132718,266446,399164
4/20/2010,2.41,268336,111488,379824
4/21/2010,1.3,130566,100760,231326
4/22/2010,0.41,55510,133899,189409
4/23/2010,0.28,34186,122673,156859
4/26/2010,0.44,37941,85434,123375
4/27/2010,0.56,127628,227967,355595
4/28/2010,0.51,85453,168005,253458
4/29/2010,1.23,130137,105640,235777
4/30/2010,0.77,51926,67343,119269
5/3/2010,0.2,22586,113509,136095
5/4/2010,0.52,134265,256696,390961
5/5/2010,0.43,105523,247096,352619
5/6/2010,0.2,91876,448452,540328
5/7/2010,0.29,109848,379067,488915
5/10/2010,0.61,214524,352843,567367
5/11/2010,0.59,126274,213934,340208
5/12/2010,0.8,115913,143996,259909
5/13/2010,0.69,115799,167151,282950
5/14/2010,0.41,175771,429464,605235
5/17/2010,0.48,119796,248693,368489
5/18/2010,0.34,110462,320313,430775
5/19/2010,0.36,60626,169926,230552
5/20/2010,0.71,161948,227650,389598
5/21/2010,0.9,94122,105156,199278
5/24/2010,1.15,108873,94888,203761
5/25/2010,0.91,70244,77386,147630
5/26/2010,2.12,234605,110805,345410
5/27/2010,0.97,79928,82328,162256
5/28/2010,0.71,102601,144890,247491
6/1/2010,0.25,41375,168209,209584
6/2/2010,0.4,77625,191966,269591
6/3/2010,0.58,31775,55247,87022
6/4/2010,0.33,79978,241709,321687
6/7/2010,0.45,75291,169158,244449
6/8/2010,0.82,128391,157530,285921
6/9/2010,1.21,164112,135623,299735
6/10/2010,1.44,157112,108977,266089
6/11/2010,0.36,42085,116137,158222
6/14/2010,2.88,331075,114786,445861
6/15/2010,0.69,69617,101546,171163
6/16/2010,0.41,50578,124567,175145
6/17/2010,1.52,39111,25704,64815
6/18/2010,1.94,165025,85048,250073
6/21/2010,1.25,81608,65479,147087
6/22/2010,0.34,44050,128595,172645
6/23/2010,0.39,34561,87713,122274
6/24/2010,0.25,50220,199545,249765
6/25/2010,0.52,30561,58384,88945
6/28/2010,0.7,25420,36172,61592
6/29/2010,0.67,67778,101128,168906
6/30/2010,0.87,54218,62179,116397
7/1/2010,1,100221,100076,200297
7/2/2010,0.37,15704,42457,58161
7/6/2010,0.78,54030,69160,123190
7/7/2010,0.79,81407,103355,184762
7/8/2010,1.25,78437,62587,141024
7/9/2010,0.56,70136,125946,196082
7/12/2010,2.01,161509,80427,241936
7/13/2010,0.97,78524,80916,159440
7/14/2010,0.63,58066,92354,150420
7/15/2010,0.62,51545,83606,135151
7/16/2010,0.45,53305,119184,172489
7/19/2010,0.39,74859,191558,266417
7/20/2010,1.54,149802,97295,247097
7/21/2010,0.38,33518,89089,122607
7/22/2010,1.19,223024,187912,410936
7/23/2010,0.46,30080,65321,95401
7/26/2010,0.84,83740,99535,183275
7/27/2010,1.65,132086,80089,212175
7/28/2010,0.71,42389,59572,101961
7/29/2010,0.81,37200,45966,83166
7/30/2010,0.43,42403,99154,141557
8/2/2010,1.51,175461,116509,291970
8/3/2010,0.44,41309,93614,134923
8/4/2010,0.22,27841,124381,152222
8/5/2010,0.69,47792,69002,116794
8/6/2010,0.51,65897,129909,195806
8/9/2010,0.6,110847,183776,294623
8/10/2010,1.42,270274,190174,460448
8/11/2010,0.66,105053,159716,264769
8/12/2010,0.3,52390,174870,227260
8/13/2010,0.94,91786,97824,189610
8/16/2010,0.46,59334,130358,189692
8/17/2010,1.79,243022,135450,378472
8/18/2010,0.68,103659,152889,256548
8/19/2010,0.32,47947,150503,198450
8/20/2010,0.61,108465,178087,286552
8/23/2010,1.03,92287,89334,181621
8/24/2010,0.93,110598,118825,229423
8/25/2010,0.83,63746,76353,140099
8/26/2010,0.47,63520,136221,199741
8/27/2010,0.32,32141,100474,132615
8/30/2010,0.37,43991,117739,161730
8/31/2010,0.52,41013,79547,120560
9/1/2010,1.78,189136,106238,295374
9/2/2010,1.54,184845,120237,305082
9/3/2010,1.87,192997,103332,296329
9/7/2010,0.89,93369,105365,198734
9/8/2010,0.54,94565,174112,268677
9/9/2010,2.39,189962,79324,269286
9/10/2010,0.77,142956,185169,328125
9/13/2010,1.71,230555,134934,365489
9/14/2010,1.5,177827,118752,296579
9/15/2010,0.45,92177,204317,296494
9/16/2010,0.26,45123,174288,219411
9/17/2010,0.23,36711,163132,199843
9/20/2010,0.41,34641,84015,118656
9/21/2010,1.53,109147,71382,180529
9/22/2010,0.6,141332,237472,378804
9/23/2010,0.71,64010,89822,153832
9/24/2010,0.5,37714,76065,113779
9/27/2010,0.57,48557,85906,134463
9/28/2010,2.83,186974,66131,253105
9/29/2010,1.23,70161,57223,127384
9/30/2010,0.65,91567,140357,231924
10/1/2010,0.78,106743,136019,242762
10/4/2010,0.18,27583,153424,181007
10/5/2010,2.09,313259,149660,462919
10/6/2010,1.5,175536,117396,292932
10/7/2010,0.46,61919,135970,197889
10/8/2010,0.79,123787,157223,281010
10/11/2010,0.55,120591,219694,340285
10/12/2010,1.84,365270,198367,563637
10/13/2010,0.34,135806,401353,537159
10/14/2010,0.77,179289,234176,413465
10/15/2010,0.35,88701,253439,342140
10/18/2010,0.57,93444,163614,257058
10/19/2010,0.72,134977,187658,322635
10/20/2010,0.42,68727,163077,231804
10/21/2010,0.28,63802,232002,295804
10/22/2010,1.06,184934,173686,358620
10/25/2010,1.36,155116,113710,268826
10/26/2010,2.62,190543,72787,263330
10/27/2010,0.54,78997,147121,226118
10/28/2010,0.28,31714,112476,144190
10/29/2010,1.07,160338,149435,309773
11/1/2010,0.47,65089,138454,203543
11/2/2010,0.74,114695,155156,269851
11/3/2010,1.42,253887,178801,432688
11/4/2010,1.12,289174,257150,546324
11/5/2010,1.1,127529,116090,243619
11/8/2010,0.58,45375,77967,123342
11/9/2010,1.37,177718,130025,307743
11/10/2010,0.69,105516,153947,259463
11/11/2010,0.42,73255,172794,246049
11/12/2010,1.14,173356,152236,325592
11/15/2010,0.56,121894,215989,337883
11/16/2010,0.59,164022,277047,441069
11/17/2010,1.01,170746,169217,339963
11/18/2010,0.46,93742,201930,295672
11/19/2010,0.24,114124,475952,590076
11/22/2010,0.14,28769,209372,238141
11/23/2010,0.66,92885,141726,234611
11/24/2010,0.44,76275,174851,251126
11/26/2010,0.17,32450,188137,220587
11/29/2010,0.64,77962,121711,199673
11/30/2010,1.02,198378,194420,392798
12/1/2010,0.72,57006,79570,136576
12/2/2010,0.46,93815,204983,298798
12/3/2010,1.02,223942,219473,443415
12/6/2010,0.54,87446,160825,248271
12/7/2010,0.52,126651,244191,370842
12/8/2010,0.28,56081,199184,255265
12/9/2010,1.07,220665,206447,427112
12/10/2010,1.15,145601,126142,271743
12/13/2010,0.51,122103,237126,359229
12/14/2010,0.18,50539,273708,324247
12/15/2010,0.22,67051,311173,378224
12/16/2010,0.31,114592,370666,485258
12/17/2010,0.36,124144,340521,464665
12/20/2010,0.66,101536,153151,254687
12/21/2010,0.38,59232,156250,215482
12/22/2010,0.56,128966,231819,360785
12/23/2010,0.22,24281,110933,135214
12/27/2010,0.36,18176,50060,68236
12/28/2010,0.79,42012,53106,95118
12/29/2010,1.17,80486,68727,149213
12/30/2010,0.81,80837,99538,180375
12/31/2010,0.2,11452,56899,68351
1/3/2011,0.47,113522,243513,357035
1/4/2011,0.44,121017,273337,394354
1/5/2011,0.4,126262,319340,445602
1/6/2011,0.54,111329,207416,318745
1/7/2011,0.69,89666,130273,219939
1/10/2011,0.64,170416,264800,435216
1/11/2011,0.69,196134,283325,479459
1/12/2011,0.85,215849,253652,469501
1/13/2011,0.35,97030,276918,373948
1/14/2011,0.49,176553,356902,533455
1/18/2011,0.37,162751,435553,598304
1/19/2011,0.5,214454,432967,647421
1/20/2011,0.61,103659,170685,274344
1/21/2011,0.74,130310,177114,307424
1/24/2011,0.53,77332,144902,222234
1/25/2011,0.28,47480,170547,218027
1/26/2011,1.21,205381,170012,375393
1/27/2011,1.24,289181,233325,522506
1/28/2011,0.48,156998,328556,485554
1/31/2011,0.79,136565,173638,310203
2/1/2011,0.42,118925,283366,402291
2/2/2011,0.7,81686,115977,197663
2/3/2011,0.91,113412,124368,237780
2/4/2011,0.45,115014,256776,371790
2/7/2011,0.68,180898,264385,445283
2/8/2011,0.68,88021,129461,217482
2/9/2011,1.01,143801,142271,286072
2/10/2011,0.34,120959,357491,478450
2/11/2011,0.4,94829,235868,330697
2/14/2011,0.89,130490,145837,276327
2/15/2011,0.31,112338,362094,474432
2/16/2011,0.54,125083,233516,358599
2/17/2011,0.49,130786,267719,398505
2/18/2011,0.19,56337,295446,351783
2/22/2011,0.62,194002,312444,506446
2/23/2011,0.67,285356,423414,708770
2/24/2011,0.45,146194,324871,471065
2/25/2011,0.71,144621,202357,346978
2/28/2011,1.04,131795,127119,258914
3/1/2011,0.42,95031,224383,319414
3/2/2011,0.32,130272,413371,543643
3/3/2011,0.74,179594,242543,422137
3/4/2011,0.35,153628,441449,595077
3/7/2011,0.24,85251,348021,433272
3/8/2011,0.8,135870,170735,306605
3/9/2011,1.01,129647,128046,257693
3/10/2011,0.44,197178,447666,644844
3/11/2011,0.99,261491,264503,525994
3/14/2011,0.44,217552,498013,715565
3/15/2011,0.42,344810,819042,1163852
3/16/2011,0.33,209433,632075,841508
3/17/2011,0.25,141837,570698,712535
3/18/2011,0.47,110982,238481,349463
3/21/2011,0.28,70255,247098,317353
3/22/2011,0.21,97978,457546,555524
3/23/2011,0.51,115343,227173,342516
3/24/2011,0.56,133211,237797,371008
3/25/2011,0.42,123938,292058,415996
3/28/2011,0.32,44999,138837,183836
3/29/2011,0.78,82532,105915,188447
3/30/2011,0.34,88738,260691,349429
3/31/2011,0.76,93592,123708,217300
4/1/2011,0.54,113938,211022,324960
4/4/2011,0.52,66719,128465,195184
4/5/2011,0.23,40089,173359,213448
4/6/2011,0.2,40703,204431,245134
4/7/2011,0.47,71557,151965,223522
4/8/2011,0.23,64294,280373,344667
4/11/2011,0.67,67891,101638,169529
4/12/2011,0.53,91000,171224,262224
4/13/2011,0.18,84141,474411,558552
4/14/2011,0.16,35595,226527,262122
4/15/2011,1.22,190211,155611,345822
4/18/2011,0.4,126854,318934,445788
4/19/2011,0.71,202182,283931,486113
4/20/2011,0.7,205949,294759,500708
4/21/2011,0.49,94284,193499,287783
4/25/2011,0.26,25063,96291,121354
4/26/2011,0.23,37357,164659,202016
4/27/2011,1.2,188625,157049,345674
4/28/2011,0.35,131624,381400,513024
4/29/2011,0.52,91056,174591,265647
5/2/2011,0.51,61354,121012,182366
5/3/2011,0.39,89886,228894,318780
5/4/2011,0.87,172302,196991,369293
5/5/2011,1.36,257257,188946,446203
5/6/2011,0.41,110505,271902,382407
5/9/2011,0.17,41952,246092,288044
5/10/2011,0.52,151099,288404,439503
5/11/2011,0.29,55188,189727,244915
5/12/2011,0.22,60970,274935,335905
5/13/2011,0.15,42223,281770,323993
5/16/2011,0.5,151606,301123,452729
5/17/2011,0.38,125807,334293,460100
5/18/2011,0.62,178995,289343,468338
5/19/2011,0.49,168335,345575,513910
5/20/2011,0.32,80858,252675,333533
5/23/2011,0.37,63521,171916,235437
5/24/2011,0.26,48669,184538,233207
5/25/2011,0.33,50107,151801,201908
5/26/2011,0.56,90659,161274,251933
5/27/2011,0.19,54370,280228,334598
5/31/2011,0.25,92437,362767,455204
6/1/2011,0.68,113719,168148,281867
6/2/2011,0.33,55505,169818,225323
6/3/2011,1.59,174014,109661,283675
6/6/2011,0.3,43091,141854,184945
6/7/2011,0.69,102066,147482,249548
6/8/2011,0.2,71730,350649,422379
6/9/2011,0.27,49478,185742,235220
6/10/2011,0.19,61608,331782,393390
6/13/2011,0.35,106371,303180,409551
6/14/2011,0.76,257330,337597,594927
6/15/2011,0.24,134549,550659,685208
6/16/2011,0.29,216089,743518,959607
6/17/2011,0.29,103945,357785,461730
6/20/2011,0.47,85906,181823,267729
6/21/2011,0.28,54613,197839,252452
6/22/2011,0.4,127311,317746,445057
6/23/2011,0.42,105524,253729,359253
6/24/2011,0.71,91114,129130,220244
6/27/2011,0.08,37652,448071,485723
6/28/2011,0.31,60903,194807,255710
6/29/2011,0.45,123558,273769,397327
6/30/2011,0.44,133319,300487,433806
7/1/2011,0.87,256016,294420,550436
7/5/2011,0.91,153109,167367,320476
7/6/2011,0.41,65315,159747,225062
7/7/2011,0.6,103443,172226,275669
7/8/2011,0.42,78901,188447,267348
7/11/2011,0.34,116093,340546,456639
7/12/2011,0.35,119253,340324,459577
7/13/2011,0.53,108896,204307,313203
7/14/2011,0.28,137265,489754,627019
7/15/2011,0.66,183003,277817,460820
7/18/2011,0.4,145271,365076,510347
7/19/2011,0.29,153751,524331,678082
7/20/2011,0.16,77453,478058,555511
7/21/2011,0.2,94907,483746,578653
7/22/2011,0.32,103732,322204,425936
7/25/2011,0.16,30548,190675,221223
7/26/2011,0.32,97461,300261,397722
7/27/2011,0.34,131267,384952,516219
7/28/2011,0.69,202980,293039,496019
7/29/2011,0.43,163037,382369,545406
8/1/2011,0.42,149678,358612,508290
8/2/2011,0.3,144240,486559,630799
8/3/2011,0.63,172364,273730,446094
8/4/2011,0.25,193061,777704,970765
8/5/2011,0.3,278107,916978,1195085
8/8/2011,0.44,282206,648024,930230
8/9/2011,0.57,338131,591344,929475
8/10/2011,0.92,331704,361173,692877
8/11/2011,1.03,329646,320946,650592
