"       MASTER SPREADSHEET                        Fourteen Select Indexes - Daily Closing Values    January 1986 - July 26, 2019",,,,,,,,,,,,,,
"Sources: Bloomberg and Cboe Exchange, Inc.",Data providers such as Bloomberg (phone: 212-318-2000) can provide historical data for a fee.      Also visit www.Cboe.com/TradTool/,Past performance is not a guarantee of future returns.,"Supporting documentation for statistics or other technical data is available by calling 1-888-OPTIONS, sending an e-mail to help@Cboe.com, or by visiting www.Cboe.com. ","Options involve risk and are not suitable for all investors. Prior to buying or selling an option, a person must receive a copy of Characteristics and Risks of Standardized Options",,Please visit www.Cboe.com and us.spindices.com  for more information and disclosures.  ,"This spreadsheet is updated about once a year, and is based on data from secondary sources believed (but not guaranteed) to be accurate.",Indexes are not investable,,,,,,
10-May-1989,116.25,321.402,305.8,114.41,127.48,120.45,,17.49,138.79,101.08,131.88,133.25,139.71,128.23
11-May-1989,116.57,322.628,306.95,114.62,127.96,120.91,,17.96,139.3,101.21,132.29,133.64,139.91,128.71
12-May-1989,117.94,329.886,313.84,115.23,130.61,123.48,,16.88,141.78,100.22,134.74,135.41,141,131.56
15-May-1989,118.19,332.459,316.16,115.35,131.5,124.3,,17.35,142.45,99.31,135.54,135.92,141.36,132.56
16-May-1989,118.18,331.729,315.28,115.4,131.32,124.13,,17.83,142.35,99.67,135.38,135.86,141.23,132.27
17-May-1989,118.26,334.051,317.48,115.45,132.04,124.85,,18.74,142.67,98.62,135.98,136.29,141.34,133.2
18-May-1989,118.2,334.596,317.97,115.5,132.42,125.22,,17.47,142.94,97.94,136.32,136.53,141.46,133.42
19-May-1989,118.43,338.047,321.24,115.49,133.51,126.23,,18,143.32,96.59,137.08,137.06,141.46,134.78
22-May-1989,118.55,338.918,321.98,115.74,133.81,126.45,,18.37,143.59,96.67,137.37,137.3,141.74,135.1
23-May-1989,117.77,335.07,318.32,115.35,132.32,125.41,,18.68,142.41,96.93,136.08,136.52,140.87,133.68
24-May-1989,118.15,335.975,319.14,115.59,132.69,125.83,,17.58,142.9,97.17,136.38,136.89,141.51,133.97
25-May-1989,118.25,336.087,319.17,115.68,132.72,125.93,,17.52,143,97.27,136.42,137,141.64,133.95
26-May-1989,119.03,338.74,321.59,116.1,133.79,126.82,,16.78,144.02,97.45,137.41,137.74,142.21,134.93
30-May-1989,118.52,336.141,317.99,115.89,132.78,126.08,,17.65,143.18,97.67,136.5,137.17,141.79,133.94
31-May-1989,119.01,337.693,320.52,116.15,133.37,126.65,,17.49,143.83,97.8,137.09,137.64,142.09,134.47
1-Jun-1989,119.32,339.253,321.97,116.47,133.97,127.12,,17.99,144.36,97.85,137.61,138.09,142.57,135.05
2-Jun-1989,120.06,342.998,325.52,116.94,135.46,128.18,,17.2,145.56,97.66,139,138.95,142.96,136.49
5-Jun-1989,119.51,339.379,322.03,116.65,134.03,127.25,,17.46,144.51,98.15,137.67,138.25,142.86,135.1
6-Jun-1989,120.06,341.799,324.24,117,134.99,128.05,,17.45,145.41,98.17,138.58,138.89,143.18,136.04
7-Jun-1989,120.58,344.657,326.95,117.27,136.12,128.81,,17.79,146.28,97.86,139.66,139.47,143.19,137.09
8-Jun-1989,120.46,344.454,326.75,117.25,136.04,128.77,,19.22,146.24,97.8,139.56,139.45,143.41,137.04
9-Jun-1989,120.65,344.514,326.69,117.31,136.06,128.92,,18.69,146.41,98.02,139.62,139.57,143.43,137.05
12-Jun-1989,120.83,344.065,326.24,117.45,135.88,128.98,,18.52,146.47,98.5,139.51,139.65,143.43,136.86
13-Jun-1989,120.51,341.629,323.91,117.42,134.92,128.29,,17.36,145.69,99.02,138.56,139.27,143.56,135.87
14-Jun-1989,120.59,341.556,323.83,117.46,134.89,128.3,,17.84,145.7,99.15,138.54,139.3,143.59,135.82
15-Jun-1989,119.64,337.611,320.08,117.25,133.33,126.92,,17.49,144.13,99.38,136.98,138.43,143.54,134.25
16-Jun-1989,120.15,338.954,321.35,117.74,133.86,127.44,,15.54,144.77,99.94,137.42,138.95,143.71,134.78
19-Jun-1989,120.42,339.574,321.89,118.05,133.94,127.7,,14.95,145.13,100.28,137.71,139.28,144.08,134.92
20-Jun-1989,120.33,338.919,321.25,118.11,133.64,127.55,,14.76,144.96,100.47,137.45,139.23,144.4,134.62
21-Jun-1989,120.25,338.11,320.48,118.02,133.38,127.39,,15.16,144.78,100.64,137.2,139.1,144.15,134.3
22-Jun-1989,120.64,341.106,322.32,118.33,133.96,127.92,,15.08,145.38,100.53,137.89,139.57,144.53,134.99
23-Jun-1989,121.65,346.043,328,118.89,135.79,129.42,,15.1,147.09,99.68,139.93,140.73,145.03,137.29
26-Jun-1989,121.53,344.768,326.6,118.92,135.39,129.11,,15.05,146.74,100.11,139.51,140.55,145.12,136.77
27-Jun-1989,121.87,346.722,328.44,119.1,135.97,129.68,,14.92,147.38,99.74,140.24,140.97,145.05,137.49
28-Jun-1989,121.6,343.989,325.81,118.92,135.28,129.16,,15.27,146.79,100.48,139.39,140.58,144.9,136.45
29-Jun-1989,120.3,337.521,319.68,118.1,133.34,127.3,,17.11,144.67,100.96,137.03,139.09,144.29,134.07
30-Jun-1989,119.98,335.778,317.98,117.78,133.11,126.77,,18.16,144.08,101.07,136.43,138.62,143.95,133.52
3-Jul-1989,120.44,337.191,319.23,118.16,133.41,127.35,,17.53,144.73,101.36,136.97,139.14,144.24,133.92
5-Jul-1989,120.86,338.724,320.64,118.55,133.84,127.86,,17.91,145.32,101.72,137.49,139.63,144.93,134.49
6-Jul-1989,121.21,339.733,321.55,118.67,134.18,128.18,,18.35,145.68,101.85,137.92,139.88,144.87,134.86
7-Jul-1989,121.87,343.283,324.91,119.27,135.29,129.26,,16.87,146.91,101.66,139.24,140.83,145.45,136.17
10-Jul-1989,122.34,345.596,327.02,119.53,136.05,129.95,,17.18,147.69,101.35,140.13,141.33,145.62,137.04
11-Jul-1989,122.57,347.414,328.78,119.63,136.63,130.39,,18.15,148.19,100.72,140.8,141.64,145.75,137.75
12-Jul-1989,122.58,348.505,329.81,119.71,136.99,130.53,,18.69,148.34,100.22,141.14,141.76,145.87,138.17
13-Jul-1989,122.61,348.653,329.95,119.72,137.05,130.56,,19.34,148.38,100.16,141.2,141.79,145.91,138.23
14-Jul-1989,122.87,350.693,331.84,119.85,137.73,131.15,,18.13,149.06,99.42,142.06,142.2,145.94,139.04
17-Jul-1989,122.97,351.356,332.44,120.01,137.95,131.28,,18.48,149.2,99.34,142.3,142.33,145.95,139.28
18-Jul-1989,123.03,350.226,331.35,120.02,137.56,131.33,,18.24,149.25,100.1,141.97,142.37,146.15,138.83
19-Jul-1989,123.13,354.861,335.73,120.1,139.18,131.81,,17.75,149.8,97.47,143.56,142.68,146.27,140.66
20-Jul-1989,123.38,352.514,333.51,120.13,138.43,131.99,,18.62,150.01,99.36,142.93,142.81,146.3,139.73
21-Jul-1989,123.31,355.044,335.9,120.1,139.4,131.97,,17.57,149.99,97.52,143.79,142.75,146.3,140.72
24-Jul-1989,122.63,352.748,333.67,120.05,138.5,131.23,,17.99,149.17,97.62,143.01,142.3,146.95,139.83
25-Jul-1989,122.78,352.997,333.88,120.06,138.61,131.35,,17.84,149.3,97.62,143.1,142.37,147.07,139.89
26-Jul-1989,123.68,357.441,338.05,120.77,140.11,132.59,,17.73,150.71,97.68,144.31,143.47,147.19,141.53
27-Jul-1989,124.4,361.665,341.99,121.11,141.51,133.57,,18.54,151.83,97.25,145.31,144.21,146.28,143.15
28-Jul-1989,124.51,361.848,342.15,121.24,141.58,133.72,,18.14,152,97.43,145.44,144.37,146.52,143.21
31-Jul-1989,125.12,366.095,346.08,121.59,142.92,134.56,,18.08,152.96,96.97,146.31,145.01,145.85,144.86
1-Aug-1989,125.16,363.768,343.75,121.38,142.28,134.38,,19.38,152.75,97.56,146.14,144.79,147,143.95
2-Aug-1989,124.93,364.446,344.34,121.5,142.55,134.34,,20.02,152.7,97.1,146.1,144.84,146,144.23
3-Aug-1989,124.86,365.034,344.74,121.63,142.72,134.44,,19.47,152.81,96.85,146.22,144.98,145.39,144.43
4-Aug-1989,125.04,364.208,343.92,121.69,142.5,134.5,,19.43,152.89,97.38,146.25,145.06,146.74,144.09
7-Aug-1989,125.66,370.104,349.41,122.05,144.33,135.51,,18.75,154.04,96.3,147.35,145.79,144.28,146.38
8-Aug-1989,125.78,370.177,349.35,122.13,144.39,135.67,,19.28,154.21,96.49,147.51,145.92,144.69,146.39
9-Aug-1989,125.65,367.691,346.94,122.08,143.69,135.31,,20.01,153.8,97.08,147.15,145.7,146.04,145.42
10-Aug-1989,125.67,369.116,348.25,122.15,144.18,135.54,,20.17,154.07,96.58,147.37,145.88,145.52,145.99
11-Aug-1989,125.53,365.483,344.74,122.06,143.06,135.15,,21.43,153.62,97.66,146.9,145.62,147.69,144.54
14-Aug-1989,125.53,363.833,343.06,122.21,142.58,135,,21.84,153.46,98.43,146.71,145.59,148.82,143.89
15-Aug-1989,125.9,365.603,344.71,122.4,143.25,135.6,,21.05,154.14,98.29,147.36,146.04,149.31,144.56
16-Aug-1989,126.09,366.674,345.66,122.46,143.63,135.94,,20.73,154.52,98.11,147.69,146.26,149.26,144.98
17-Aug-1989,126.2,365.411,344.45,122.51,143.2,136.03,,20.46,154.62,98.85,147.72,146.34,150.34,144.48
18-Aug-1989,126.36,367.09,346.03,122.51,143.81,136.65,,18.27,155.35,98.29,148.31,146.66,150.69,145.14
21-Aug-1989,125.09,361.47,340.67,121.73,141.64,135.06,,18.61,153.55,98.19,146.56,145.31,150.75,143.12
22-Aug-1989,125.27,362.065,341.19,122.07,141.89,135.34,,17.64,153.87,98.48,146.78,145.68,150.91,143.23
23-Aug-1989,126.23,365.792,344.7,122.8,143.29,136.46,,17.2,155.15,98.8,147.95,146.72,151.33,144.52
24-Aug-1989,127.3,373.034,351.52,123.51,146,138.11,,18.04,157.02,98.17,149.89,148.03,150.78,147.28
25-Aug-1989,127.22,372.016,350.52,123.48,145.63,137.93,,18.21,156.81,98.41,149.6,147.92,150.96,146.88
28-Aug-1989,127.77,373.852,352.09,123.71,146.38,138.57,,18.93,157.53,98.44,150.31,148.37,151.19,147.58
29-Aug-1989,127.47,371.531,349.84,123.53,145.47,138.11,,18.85,157.01,98.76,149.73,148.03,151.42,146.68
30-Aug-1989,127.59,372.4,350.65,123.76,145.83,138.34,,18.34,157.29,98.85,149.89,148.3,151.49,147
31-Aug-1989,127.97,373.252,351.45,123.79,146.15,138.76,,18.33,157.76,98.92,150.33,148.54,151.7,147.33
1-Sep-1989,128.48,375.777,353.73,124.12,147.11,139.46,,17.13,158.55,98.81,151.16,149.12,152.02,148.3
5-Sep-1989,128.37,374.584,352.56,124.27,146.67,139.31,,17.79,158.38,99.19,150.94,149.08,152.2,147.78
6-Sep-1989,127.88,371.066,349.24,124.02,145.29,138.48,,18.45,157.44,99.76,149.84,148.49,152.61,146.43
7-Sep-1989,127.88,370.137,348.35,124.11,144.93,138.36,,17.73,157.3,100.21,149.6,148.48,152.82,146.01
8-Sep-1989,128.22,370.575,348.76,124.26,145.1,138.69,,16.77,157.68,100.67,149.81,148.76,152.85,146.2
11-Sep-1989,128.1,369.554,347.66,124.36,144.7,138.35,,16.43,157.29,101.07,149.39,148.61,153.04,145.78
12-Sep-1989,128.49,370.685,348.7,124.58,145.14,138.77,,16.13,157.77,101.33,149.86,148.97,153.03,146.2
13-Sep-1989,127.39,367.25,345.46,124.24,143.8,137.58,,16.82,156.42,101.4,148.5,148.13,153.01,144.85
14-Sep-1989,126.61,364.827,343.16,124.14,142.85,136.69,,17.95,155.4,101.32,147.54,147.6,153,143.89
15-Sep-1989,127.35,366.856,345.06,124.88,143.64,137.46,,17.11,156.34,102.4,148.2,148.41,153.18,144.68
18-Sep-1989,127.65,368.653,346.73,125.4,143.95,137.86,,16.26,156.85,102.72,148.56,148.93,153.66,145.29
19-Sep-1989,127.76,368.621,346.55,125.45,143.99,137.94,,15.98,156.94,102.79,148.68,149.01,153.64,145.19
20-Sep-1989,127.7,368.538,346.47,125.48,143.97,137.93,,16.62,156.93,102.81,148.66,149.03,153.67,145.18
21-Sep-1989,127.76,367.78,345.7,125.44,143.72,137.89,,16.55,156.87,103.09,148.6,148.99,153.65,144.86
22-Sep-1989,128.11,369.22,347.05,125.7,144.21,138.34,,16.2,157.39,103.09,149.01,149.39,153.99,145.35
25-Sep-1989,127.52,366.381,344.23,125.41,143.35,137.57,,16.42,156.52,103.24,148.19,148.78,153.88,144.31
26-Sep-1989,127.63,366.502,344.33,125.6,143.26,137.64,,16.57,156.59,103.51,148.17,148.94,154.26,144.32
27-Sep-1989,127.82,367.334,345.1,125.79,143.51,137.94,,16.14,156.94,103.57,148.47,149.22,154.49,144.6
28-Sep-1989,128.8,371.121,348.6,126.23,144.74,139.11,,15.89,158.26,103.64,149.74,150.11,154.91,146.05
29-Sep-1989,129.11,371.738,349.15,126.28,144.99,139.4,,15.99,158.6,103.74,150.04,150.31,155.09,146.26
2-Oct-1989,129.39,373.593,350.87,126.7,145.45,139.88,,15.79,159.14,103.8,150.55,150.78,155.28,146.96
3-Oct-1989,129.82,377.829,354.71,126.95,146.97,140.75,,16.02,160.13,102.85,151.69,151.41,154.67,148.59
4-Oct-1989,130.05,380.264,356.94,127.03,147.84,141.11,,16.35,160.54,102.3,152.21,151.66,154.12,149.53
5-Oct-1989,130.06,380.296,356.97,127.08,147.83,141.02,,17.11,160.44,102.38,152.2,151.65,154.1,149.55
6-Oct-1989,130.37,382.252,358.78,127.18,148.52,141.56,,16.76,161.05,101.99,152.8,152.01,154.05,150.3
9-Oct-1989,130.52,383.339,359.8,127.35,148.85,141.79,,16.37,161.32,101.88,153.1,152.2,154.14,150.74
10-Oct-1989,130.31,382.63,359.13,127.35,148.61,141.6,,16.66,161.1,101.83,152.91,152.11,154.46,150.46
11-Oct-1989,130.26,380.356,356.99,127.33,147.83,141.47,,16.73,160.95,102.5,152.64,152.03,155.33,149.55
12-Oct-1989,130.32,378.651,355.39,127.37,147.18,141.38,,16.78,160.85,103.29,152.37,152.01,155.89,148.88
13-Oct-1989,124.5,355.488,333.65,120.9,138.96,133.8,,28.24,152.23,98.02,144.87,144.11,151.94,140.47
16-Oct-1989,128.08,365.359,342.85,125.43,143.96,137.65,,24.29,156.61,104.67,147.64,148.83,156.56,144.38
17-Oct-1989,127.51,363.579,341.16,125.55,143.52,137.04,,26.23,155.92,104.45,147.44,148.58,154.79,143.34
18-Oct-1989,127.83,364.223,341.76,126.08,143.46,137.31,,26.75,156.22,105.1,147.5,149.04,155.6,143.41
19-Oct-1989,129.71,369.953,347.13,127.22,144.73,139.47,,22.87,158.68,106.29,149.62,150.89,156.37,145.46
20-Oct-1989,129.94,369.988,347.16,127.66,145.12,139.52,,22.95,158.79,107.27,149.37,151.12,156.61,145.44
23-Oct-1989,129.74,367.548,344.83,127.58,144.07,139.05,,23.21,158.08,107.68,148.85,150.83,156.8,144.31
24-Oct-1989,129.26,366.348,343.7,127.16,144.08,138.59,,24.6,157.54,107.48,148.53,150.34,156.19,144.2
25-Oct-1989,129.11,365.116,342.5,126.91,143.62,138.28,,26.03,157.12,107.5,148.07,150.02,156.39,143.75
26-Oct-1989,127.82,360.317,337.93,125.94,142.38,136.66,,28.44,155.14,107.06,146.5,148.59,155.47,142.24
27-Oct-1989,126.92,357.261,335.06,125.26,141.68,135.69,,30.03,153.96,106.81,145.52,147.66,154.96,141.49
30-Oct-1989,127.23,357.334,335.07,125.72,141.51,135.79,,27.51,154.05,107.11,145.56,147.96,155.16,140.94
31-Oct-1989,129.25,363.106,340.36,127.39,142.63,138.03,,23.2,156.53,108.25,147.39,150.16,156.92,142.3
1-Nov-1989,129.59,364.013,341.2,127.82,142.84,138.4,,22.84,156.99,108.82,147.71,150.62,156.95,142.59
2-Nov-1989,128.77,361.312,338.48,127,142.05,137.45,,24.21,155.84,108.05,146.94,149.63,156.49,141.77
3-Nov-1989,128.54,360.406,337.62,127.07,141.68,137.15,,23.15,155.48,108.18,146.49,149.52,156.73,141.32
6-Nov-1989,126.87,355.186,332.61,125.45,140.15,135.21,,24.67,153.25,106.36,145.04,147.48,155.59,139.59
7-Nov-1989,127.75,357.694,334.81,126.33,140.81,136.16,,23.8,154.32,107.3,145.67,148.53,156.55,140.31
8-Nov-1989,128.93,361.277,338.15,127.4,141.65,137.5,,23.23,155.87,108.21,146.81,149.89,157.44,141.35
9-Nov-1989,128.48,359.695,336.57,127.03,141.19,136.93,,23.06,155.2,107.92,146.26,149.37,157.32,140.81
10-Nov-1989,129.46,362.503,339.1,128.08,141.84,138,,22.75,156.41,109.18,147.1,150.57,158.05,141.74
13-Nov-1989,129.67,363.119,339.55,128.59,141.9,138.24,,22.43,156.68,109.66,147.14,150.97,158.59,141.82
14-Nov-1989,129.16,361.5,337.99,127.86,141.48,137.65,,22.61,155.98,108.7,146.68,150.23,158.14,141.22
15-Nov-1989,130.14,364.247,340.54,128.74,142.21,138.69,,21.21,157.16,109.84,147.48,151.32,158.8,142.18
16-Nov-1989,130.21,364.355,340.58,128.8,142.04,138.73,,19.81,157.21,109.85,147.39,151.38,159.19,142.16
17-Nov-1989,130.63,365.504,341.61,129.39,142.24,139.18,,17.47,157.78,110.74,147.64,151.93,159.33,142.57
20-Nov-1989,129.96,363.126,339.35,129.18,141.41,138.48,,18.34,157.03,110.67,147.01,151.42,159.07,141.66
21-Nov-1989,130.08,363.388,339.59,129.3,141.47,138.58,,18.66,157.15,110.85,147.07,151.55,159.35,141.75
22-Nov-1989,130.86,365.871,341.91,129.74,142.27,139.48,,18.11,158.17,111.14,147.91,152.3,159.68,142.6
24-Nov-1989,131.31,368.119,343.97,130.14,142.94,140.11,,18.34,158.88,111.07,148.56,152.86,160.14,143.38
27-Nov-1989,131.73,370.036,345.61,130.52,143.63,140.72,,17.88,159.57,111.07,149.25,153.38,160.47,144.06
28-Nov-1989,131.82,370.265,345.77,130.5,143.73,140.8,,18.37,159.67,111.06,149.31,153.42,160.49,144.16
29-Nov-1989,131.37,367.95,343.6,130.28,142.92,140.1,,19.43,158.87,111.27,148.53,152.91,160.36,143.27
30-Nov-1989,131.91,370.511,345.99,130.66,143.79,140.85,,19.21,159.72,111.22,149.26,153.55,160.85,144.24
1-Dec-1989,132.53,375.519,350.63,131.08,145.61,142,,18.73,161.02,110.22,150.72,154.42,160.28,146.1
4-Dec-1989,132.87,376.523,351.41,131.27,145.96,142.33,,18.19,161.4,110.35,151.13,154.69,160.4,146.44
5-Dec-1989,132.71,374.618,349.58,131.25,145.24,142.09,,18.04,161.13,110.8,150.74,154.54,161.09,145.7
6-Dec-1989,132.68,373.52,348.55,131.33,144.8,142,,18.36,161.03,111.3,150.5,154.54,161.48,145.26
7-Dec-1989,132.71,372.517,347.59,131.31,144.4,141.92,,18.53,160.94,111.81,150.3,154.49,161.5,144.87
8-Dec-1989,132.99,373.699,348.69,131.52,144.78,142.33,,17.11,161.39,111.75,150.75,154.84,161.78,145.28
11-Dec-1989,133.19,373.718,348.56,131.67,144.77,142.51,,16.72,161.61,112.17,150.89,154.99,161.71,145.26
12-Dec-1989,133.29,377.145,351.73,131.73,146.07,143.08,,16.62,162.25,110.58,151.84,155.35,161.79,146.57
13-Dec-1989,133.59,378.251,352.75,131.81,146.5,143.38,,16.58,162.59,110.51,152.2,155.55,161.97,147
14-Dec-1989,133.61,376.304,350.93,131.84,145.74,143.27,,17.51,162.47,111.5,151.87,155.52,162.1,146.22
15-Dec-1989,133.79,375.378,350.14,131.93,145.36,143.82,,17.49,163.13,112.32,151.59,155.83,162.24,145.85
18-Dec-1989,131.84,368.571,343.69,130.69,143.33,141.58,,20.83,160.64,111.77,149.59,153.88,161.04,143.66
19-Dec-1989,131.56,367.274,342.46,130.52,142.95,141.2,,20.46,160.2,111.75,149.19,153.58,160.86,143.18
20-Dec-1989,131.67,367.689,342.84,130.74,143.15,141.34,,20.39,160.37,111.89,149.31,153.79,160.99,143.24
21-Dec-1989,132.35,369.776,344.78,131.13,143.89,142.14,,20.03,161.27,112.13,149.96,154.46,161.75,143.89
22-Dec-1989,133.41,372.807,347.42,131.98,144.54,143.32,,17.53,162.61,112.86,151.04,155.6,162.5,144.74
26-Dec-1989,133.33,372.232,346.81,132.03,144.32,143.15,,18.73,162.42,112.92,150.83,155.49,162.58,144.45
27-Dec-1989,133.92,374.378,348.81,132.56,144.88,143.9,,18.17,163.27,113.28,151.47,156.21,163.33,145.17
28-Dec-1989,134.47,376.382,350.67,132.93,145.44,144.54,,17.29,164,113.42,152.13,156.78,163.56,145.85
29-Dec-1989,135.17,379.409,353.4,133.17,146.39,145.53,,17.39,165.12,113.21,153.16,157.47,163.7,146.99
2-Jan-1990,136.54,386.162,359.69,133.84,148.63,147.41,17.24,17.03,167.25,112.77,155.12,158.83,163.92,149.58
3-Jan-1990,136.04,385.171,358.76,133.87,148.29,146.71,18.19,18.53,166.46,112.69,154.49,158.48,163.49,149.14
4-Jan-1990,135.38,382.018,355.66,133.72,147.22,146.04,19.22,19.52,165.7,112.98,153.73,158.03,163.94,147.98
5-Jan-1990,135.06,378.299,352.2,133.28,146.21,145.24,20.11,20.46,164.79,113.69,152.81,157.34,163.93,146.6
8-Jan-1990,135.37,380.039,353.79,133.76,146.72,145.8,20.26,19.86,165.42,113.74,153.3,157.9,164.69,147.19
9-Jan-1990,134.39,375.564,349.62,133.13,145.37,144.43,22.2,21.7,163.88,113.8,151.89,156.79,164.3,145.56
10-Jan-1990,133.96,373.087,347.31,132.72,144.72,143.7,22.44,22.3,163.04,113.88,151.19,156.16,163.93,144.65
11-Jan-1990,134.48,374.398,348.53,133.31,144.84,144.27,20.05,21.04,163.69,114.5,151.54,156.82,164.73,144.95
12-Jan-1990,131.53,365.223,339.93,130.08,142.91,140.81,24.64,26.03,159.76,111.12,148.98,153.06,160.64,142.11
15-Jan-1990,130.46,362.075,337,129.76,141.86,139.62,26.34,26.08,158.41,110.35,147.92,152.19,159.95,140.67
16-Jan-1990,131.92,366.121,340.75,131.14,142.72,141.19,24.18,23.16,160.2,111.79,148.84,153.86,162.71,141.79
17-Jan-1990,130.64,362.536,337.4,129.62,141.89,139.81,24.16,23.67,158.63,109.7,148.1,152.23,160.07,140.55
18-Jan-1990,130.96,363.384,338.19,130.67,141.77,140.14,24.34,23,159,110.85,147.8,153.02,162.52,140.58
19-Jan-1990,131.34,364.427,339.15,130.73,141.83,140.55,22.5,21.59,159.64,111.25,147.66,153.4,164.95,140.86
22-Jan-1990,129.1,355.04,330.38,128.5,140.24,137.4,26.7,27.97,156.13,111.34,145.01,150.38,163.55,138.47
23-Jan-1990,129.59,356.364,331.61,129.52,139.67,137.96,24.72,24.96,156.76,111.88,145.27,151.28,164.31,138.28
24-Jan-1990,129.4,348.436,330.26,129.45,139.37,137.5,25.39,24.86,156.23,112.11,144.88,150.99,164.31,137.72
25-Jan-1990,128.17,350.515,326.08,128.04,138.87,135.89,25.63,26.34,154.41,111.55,143.72,149.29,163.19,136.68
26-Jan-1990,128.06,350.246,325.8,128.01,138.78,135.79,26.28,27.27,154.29,111.55,143.66,149.23,163.19,136.63
29-Jan-1990,127.97,349.674,325.2,128.2,138.41,135.63,26.44,26.97,154.11,111.69,143.46,149.22,163.48,136.25
30-Jan-1990,127.35,347.375,322.98,127.73,138.1,134.77,27.25,28.65,153.13,111.67,142.7,148.47,163.03,135.63
31-Jan-1990,129.66,353.937,329.08,129.45,139.19,137.32,25.36,25.99,156.03,112.71,144.77,150.88,164.44,137.21
1-Feb-1990,129.56,353.678,328.79,129.65,138.99,137.21,24.87,25.31,155.91,112.81,144.56,150.94,164.82,137.02
2-Feb-1990,130.43,356.025,330.92,130.11,139.63,138.14,24.32,24.82,156.96,113.15,145.41,151.71,164.71,137.69
5-Feb-1990,130.81,357.283,331.85,130.69,139.67,138.65,24.54,24.02,157.54,113.53,145.73,152.3,165.46,137.96
6-Feb-1990,130.22,355.054,329.66,130.22,139.11,137.8,24.69,24.61,156.58,113.22,145.15,151.57,165.32,137.16
7-Feb-1990,131.54,359.53,333.75,131.47,140.09,139.51,24.29,23.47,158.52,114.17,146.25,153.24,166.17,138.62
8-Feb-1990,131.36,358.699,332.96,131.6,139.62,139.21,23.77,23.11,158.19,114.43,145.96,153.15,166.21,138.22
9-Feb-1990,131.81,359.575,333.62,131.77,139.93,139.55,23.69,23.2,158.57,114.76,146.19,153.44,166.52,138.49
12-Feb-1990,130.75,355.889,330.08,130.79,139.04,138.15,24.38,24.05,156.97,113.78,145.19,152.07,165.91,137.15
13-Feb-1990,131.15,357.009,331.02,131.34,139.11,138.58,23.76,24.03,157.47,114.31,145.41,152.63,166.53,137.42
14-Feb-1990,131.59,358.099,332.01,131.62,139.29,139.02,22.05,23.2,157.96,114.68,145.64,153.04,166.87,137.78
15-Feb-1990,132.72,361.23,334.89,132.9,139.69,140.24,19.71,20.18,159.34,116.36,146.48,154.45,167.28,138.87
16-Feb-1990,131.96,358.987,332.72,132.43,139.05,139.38,20.78,21.63,158.72,116.25,145.42,153.62,167.7,138.05
20-Feb-1990,130.67,353.91,327.99,131.6,138.05,137.81,22.78,24.22,156.75,116.42,143.68,152.25,166.26,136.53
21-Feb-1990,130.59,353.567,327.67,131.73,137.81,137.65,23.89,24.14,156.56,116.5,143.51,152.24,166.3,136.27
22-Feb-1990,130.22,351.484,325.7,131.43,137.35,137.07,22.54,24.14,155.78,116.72,142.87,151.75,165.8,135.52
23-Feb-1990,129.88,349.9,324.15,131.07,137.14,136.65,23.69,24.53,155.15,116.53,142.38,151.32,165.04,134.99
26-Feb-1990,131.38,354.875,328.67,132.52,137.66,138.43,23.56,22.38,157.32,117.8,144.02,153.11,167.6,136.48
27-Feb-1990,131.91,356.661,330.26,132.81,138.12,139.04,22.69,21.36,158.08,117.6,144.77,153.62,167.79,136.95
28-Feb-1990,132.5,358.496,331.89,133.19,138.45,139.74,21.99,20.81,158.9,117.96,145.37,154.24,168.47,137.54
1-Mar-1990,132.81,359.457,332.74,133.35,138.69,140.11,21.9,20.6,159.31,117.95,145.81,154.54,168.62,137.84
2-Mar-1990,133.46,362.485,335.54,133.82,139.41,141.12,21.34,19.46,160.62,117.68,146.94,155.38,169.45,138.89
5-Mar-1990,133.11,360.681,333.74,133.97,138.66,140.48,22.03,19.84,159.89,118.42,146.19,155.08,169.56,138.15
6-Mar-1990,134.08,365.242,337.93,134.5,139.9,141.9,20.55,18.56,161.8,117.74,147.95,156.18,170.66,139.74
7-Mar-1990,134.02,364.194,336.95,134.38,139.64,141.72,19.1,19.51,161.44,118.07,147.59,156.03,170.23,139.32
8-Mar-1990,134.48,367.793,340.27,134.76,140.66,142.68,19.74,18.22,162.77,116.97,149,156.78,170.79,140.66
9-Mar-1990,134.5,365.42,337.93,134.72,139.82,142.31,20.3,18.39,162.03,118.55,148.08,156.56,170.77,139.73
12-Mar-1990,134.68,366.243,338.67,134.98,139.97,142.61,20.07,18.64,162.37,118.58,148.42,156.85,171.04,140.03
13-Mar-1990,134.47,363.371,336,134.83,139.05,141.92,21.05,19.69,161.27,120,147.28,156.39,170.91,138.94
14-Mar-1990,134.72,364.318,336.87,135.05,139.22,142.33,19.65,18.44,161.69,120.1,147.64,156.75,171.22,139.25
15-Mar-1990,135.03,365.626,338.07,135.21,139.59,142.92,18.81,17.79,162.33,119.94,148.21,157.17,171.36,139.72
16-Mar-1990,135.24,369.789,341.91,135.25,141.13,143.98,17.62,15.92,164.14,117.26,149.64,157.78,171.73,141.23
19-Mar-1990,135.37,371.558,343.53,135.62,141.25,144.25,18.29,15.94,164.51,117.2,149.98,158.14,172.11,141.82
20-Mar-1990,134.92,369.465,341.57,135.01,140.88,143.67,19.06,17.75,163.85,116.84,149.43,157.48,171.6,141.17
